Bujur,Lintang,FAA,Elevation_m,UTM_X,UTM_Y
123.3179615,0.003033,-148.93,-3227.0857,535381.3369267016,10000335.242826818
123.2661332,0.0023787,-148.92,-3109.5789,529614.0691625406,10000262.920676066
123.3186676,0.0030291,-148.92,-3228.2485,535459.9093988334,10000334.811776036
123.2654169,0.0023692,-148.91,-3107.5793,529534.3620435082,10000261.870613936
123.3193738,0.0030247,-148.91,-3229.3928,535538.4930040739,10000334.325459355
123.2647008,0.0023598,-148.9,-3105.5513,529454.6771843475,10000260.831605095
123.3200801,0.0030197,-148.9,-3230.491,535617.0877424434,10000333.772823598
123.2639847,0.0023508,-148.89,-3103.5068,529374.9923298087,10000259.83680891
123.3207863,0.0030141,-148.89,-3231.5898,535695.6713586075,10000333.153868737
123.2632687,0.0023422,-148.88,-3101.4163,529295.3186074937,10000258.88622537
123.2625528,0.0023345,-148.87,-3099.327,529215.656017378,10000258.035120076
123.3214926,0.003008,-148.87,-3232.6472,535774.266107923,10000332.479647944
123.3221988,0.0030015,-148.86,-3233.7017,535852.8497350492,10000331.76121438
123.2618371,0.0023276,-148.85,-3097.183,529136.0156870653,10000257.272439891
123.322905,0.002995,-148.85,-3234.7366,535931.433367662,10000331.042780772
123.2611216,0.0023215,-148.84,-3095.0361,529056.3976165367,10000256.5981848
123.2604062,0.0023162,-148.83,-3092.8552,528976.7906781646,10000256.012354784
123.3236112,0.0029887,-148.83,-3235.7563,536010.0170057644,10000330.346453477
123.2596908,0.0023118,-148.82,-3090.652,528897.1837443186,10000255.526002944
123.3243174,0.0029824,-148.82,-3236.7708,536088.6006493721,10000329.650126131
123.2589757,0.0023081,-148.81,-3088.435,528817.6101978277,10000255.117023036
123.3250236,0.002976,-148.81,-3237.766,536167.1842985031,10000328.942745555
123.2582606,0.002305,-148.79,-3086.1755,528738.0366558435,10000254.77436192
123.3257299,0.0029698,-148.79,-3238.7605,536245.7790808395,10000328.257471304
123.2575458,0.0023029,-148.78,-3083.9192,528658.4965011763,10000254.54223206
123.3264362,0.0029635,-148.78,-3239.7415,536324.3738687248,10000327.56114382
123.2568311,0.0023013,-148.77,-3081.6062,528578.9674785951,10000254.365367848
123.3271425,0.0029575,-148.76,-3240.7188,536402.9686621551,10000326.897975847
123.2561166,0.0023003,-148.75,-3079.291,528499.4607156947,10000254.254822396
123.2554024,0.0022999,-148.74,-3076.939,528419.987340069,10000254.210595692
123.3278489,0.0029517,-148.74,-3241.6912,536481.5745888309,10000326.256914206
123.2546884,0.0023001,-148.73,-3074.5627,528340.5362240907,10000254.232687725
123.3285552,0.0029463,-148.73,-3242.658,536560.169393394,10000325.660065273
123.2539746,0.0023007,-148.71,-3072.1694,528261.1073677504,10000254.298992254
123.3292615,0.0029413,-148.71,-3243.6233,536638.7642035405,10000325.107429055
123.2532612,0.002302,-148.7,-3069.7273,528181.7230262314,10000254.442668617
123.3299678,0.0029367,-148.7,-3244.5864,536717.3590192798,10000324.599005563
123.2525481,0.0023037,-148.68,-3067.2874,528102.3720719179,10000254.63055746
123.330674,0.0029325,-148.68,-3245.5483,536795.9427129383,10000324.134794809
123.2518353,0.0023059,-148.67,-3064.7734,528023.0545047929,10000254.87371189
123.3313802,0.0029288,-148.66,-3246.513,536874.5264122087,10000323.72584999
123.2511229,0.0023084,-148.65,-3062.2566,527943.7814524461,10000255.150025671
123.3320862,0.0029258,-148.65,-3247.4773,536953.0878617306,10000323.394277496
123.2504108,0.0023113,-148.64,-3059.684,527864.5417872473,10000255.470551915
123.3327921,0.0029235,-148.63,-3248.4456,537031.6381891908,10000323.140077349
123.249699,0.0023146,-148.62,-3057.0747,527785.3355091843,10000255.83529061
123.2489876,0.0023181,-148.61,-3054.4463,527706.1737458451,10000256.222135533
