lon,lat,faa_topex
120.9583,-0.0416,-19.6
120.975,-0.0416,-18.6
120.9917,-0.0416,-17.2
121.0083,-0.0416,-15.3
121.025,-0.0416,-13.6
121.0417,-0.0416,-12.6
121.0583,-0.0416,-12.4
121.075,-0.0416,-12.2
121.0917,-0.0416,-11.3
121.1083,-0.0416,-9.6
121.125,-0.0416,-7.5
121.1417,-0.0416,-5.6
121.1583,-0.0416,-4.3
121.175,-0.0416,-3.4
121.1917,-0.0416,-2.4
121.2083,-0.0416,-1.1
121.225,-0.0416,0.7
121.2417,-0.0416,2.5
121.2583,-0.0416,4
121.275,-0.0416,5.6
121.2917,-0.0416,7.7
121.3083,-0.0416,10
121.325,-0.0416,11.7
121.3417,-0.0416,12.7
121.3583,-0.0416,12.8
121.375,-0.0416,12.4
121.3917,-0.0416,12
121.4083,-0.0416,12.1
121.425,-0.0416,12.9
121.4417,-0.0416,13.8
121.4583,-0.0416,14.3
121.475,-0.0416,14.8
121.4917,-0.0416,16.1
121.5083,-0.0416,19.1
121.525,-0.0416,23.6
121.5417,-0.0416,28.5
121.5583,-0.0416,32.7
121.575,-0.0416,35.7
121.5917,-0.0416,37.7
121.6083,-0.0416,38.3
121.625,-0.0416,37.7
121.6417,-0.0416,37.1
121.6583,-0.0416,37.6
121.675,-0.0416,39.1
121.6917,-0.0416,40.4
121.7083,-0.0416,40.7
121.725,-0.0416,39.5
121.7417,-0.0416,36.5
121.7583,-0.0416,32
121.775,-0.0416,26.8
121.7917,-0.0416,22.3
121.8083,-0.0416,19.7
121.825,-0.0416,19.3
121.8417,-0.0416,19.8
121.8583,-0.0416,20.4
121.875,-0.0416,21.1
121.8917,-0.0416,22.5
121.9083,-0.0416,24
121.925,-0.0416,24.9
121.9417,-0.0416,25.5
121.9583,-0.0416,26.7
121.975,-0.0416,28.7
121.9917,-0.0416,30.6
122.0083,-0.0416,31.6
122.025,-0.0416,31.4
122.0417,-0.0416,30.7
122.0583,-0.0416,30.5
122.075,-0.0416,30.5
122.0917,-0.0416,30
122.1083,-0.0416,28.7
122.125,-0.0416,26.8
122.1417,-0.0416,24.1
122.1583,-0.0416,20.2
122.175,-0.0416,15.2
122.1917,-0.0416,8.8
122.2083,-0.0416,1.7
122.225,-0.0416,-5.3
122.2417,-0.0416,-10.9
122.2583,-0.0416,-14.4
122.275,-0.0416,-16.6
122.2917,-0.0416,-18.7
122.3083,-0.0416,-21.8
122.325,-0.0416,-26.1
122.3417,-0.0416,-31.3
122.3583,-0.0416,-36.5
122.375,-0.0416,-41.7
122.3917,-0.0416,-46.8
122.4083,-0.0416,-51.1
122.425,-0.0416,-54.9
122.4417,-0.0416,-58.8
122.4583,-0.0416,-62.7
122.475,-0.0416,-66.2
122.4917,-0.0416,-69.4
122.5083,-0.0416,-73.2
122.525,-0.0416,-78.1
122.5417,-0.0416,-83.2
122.5583,-0.0416,-87.7
122.575,-0.0416,-91.8
122.5917,-0.0416,-96
122.6083,-0.0416,-100.2
122.625,-0.0416,-104
122.6417,-0.0416,-106.6
122.6583,-0.0416,-107.9
122.675,-0.0416,-109
122.6917,-0.0416,-110.8
122.7083,-0.0416,-112.6
122.725,-0.0416,-113.6
122.7417,-0.0416,-113.7
122.7583,-0.0416,-113.8
122.775,-0.0416,-114.2
122.7917,-0.0416,-115
122.8083,-0.0416,-116.2
122.825,-0.0416,-117.7
122.8417,-0.0416,-119.7
122.8583,-0.0416,-122.2
122.875,-0.0416,-125.1
122.8917,-0.0416,-127.7
122.9083,-0.0416,-129.7
122.925,-0.0416,-130.9
122.9417,-0.0416,-132.1
122.9583,-0.0416,-133.7
122.975,-0.0416,-135.2
122.9917,-0.0416,-136.4
123.0083,-0.0416,-137.6
123.025,-0.0416,-139.3
123.0417,-0.0416,-141.5
123.0583,-0.0416,-143.9
123.075,-0.0416,-146.2
123.0917,-0.0416,-148.5
123.1083,-0.0416,-151.7
123.125,-0.0416,-155.8
123.1417,-0.0416,-160.1
123.1583,-0.0416,-163.4
123.175,-0.0416,-165.8
123.1917,-0.0416,-167.5
123.2083,-0.0416,-168.8
123.225,-0.0416,-169.3
123.2417,-0.0416,-169.3
123.2583,-0.0416,-169
123.275,-0.0416,-168.4
123.2917,-0.0416,-167.6
123.3083,-0.0416,-166.7
123.325,-0.0416,-166
123.3417,-0.0416,-165.9
123.3583,-0.0416,-166
123.375,-0.0416,-166.2
123.3917,-0.0416,-165.7
123.4083,-0.0416,-164.8
123.425,-0.0416,-163.8
123.4417,-0.0416,-162.9
123.4583,-0.0416,-161.7
123.475,-0.0416,-160.2
123.4917,-0.0416,-158.4
123.5083,-0.0416,-156.6
123.525,-0.0416,-155.1
123.5417,-0.0416,-153.5
123.5583,-0.0416,-151.5
123.575,-0.0416,-149.3
123.5917,-0.0416,-147.4
123.6083,-0.0416,-145
